,from_id,fromChain,to_id,toChain,kint,ksm,kbtc,timestamp,label_from_id,label_to_id
1471,a3dRMjuJ4E41uqBGh2spm8DbANoDP2KjnVokzyB2brVWwCTxG,2092,a3awFkWwydtvXZaQdQqpTeRAQpehjEe6wh57i6NTnka8xxKkw,2092,4.99986,0.0,0.0,2022-04-08T15:42:54.228000Z,,
1472,a3dRYhhVR1za5DWFn1jyxTKEhyWA8tKgWtBjdBd2jVebbHwGV,2092,a3bkd4Z7FSnAVABG9JJV8UyESACpKgretzxMbYx7zLTLoVj2p,2092,6.18274019891,0.0,0.0,2022-02-21T13:46:36.287000Z,,shenanigans/Top KINT Mover/Top KINT Sink
1473,a3dRYmM5j6qrM34Awuynvj8GFpmCC9DPNSZzriGU3SZzwBn42,2092,a3ag2woZz3BUZv78ZDjCJUjLUtDXbGhGTeEGXNJRrUfQHtwsR,2092,4666.0,0.0,0.0,2022-05-27T20:39:42.216000Z,Top KINT Mover/Top KINT Sink/Top KBTC Sink,Top KINT Sink
1474,a3dRYmM5j6qrM34Awuynvj8GFpmCC9DPNSZzriGU3SZzwBn42,2092,a3cnh9dtRtCC1BbvnDwBEq12z52FQ8K3yCguf9tRyPgxfmCX5,2092,19160.0,0.0,0.0,2022-04-11T15:25:12.757000Z,Top KINT Mover/Top KINT Sink/Top KBTC Sink,Top KINT Sink
1475,a3dRYmM5j6qrM34Awuynvj8GFpmCC9DPNSZzriGU3SZzwBn42,2092,a3dLTi5VD1HZhiS4WYx3dSxtTNUGA4y8nAuGXScinEHRbD4LN,2092,3989.0,0.0,0.0,2022-04-01T17:14:30.330000Z,Top KINT Mover/Top KINT Sink/Top KBTC Sink,Top KINT Sink
1476,a3dRmxz3m2xq8xHSW5zpJgrnFWvYTPe2n4EDP5qPDeWZ2gKWf,2092,a3fNcHweGwLThMxd6k3xpSKmtdwisvf18NH3mj5wTbY5JAdve,2092,0.4,0.0,0.0,2022-05-18T01:37:54.800000Z,,
1477,a3dRyfnrgwbbWYiokBoYZ5d7vXwdMWACwDVSMu7AL7M8WbUqn,2092,a3eskkeZR5Vmz6LbYooZgNboUgZGd66gZ7TytGvSpz3GRKqLY,2092,4.9,0.0,0.0,2022-02-22T01:05:00.399000Z,,
1478,a3dSXuUPQuVJRQfFAb959v7nPijS9kUJVVyB8vRAAP1djpk4A,2092,a3bkd4Z7FSnAVABG9JJV8UyESACpKgretzxMbYx7zLTLoVj2p,2092,2166.424740132244,0.0,0.0,2022-05-06T14:24:12.374000Z,Top KINT Mover/Top KINT Sink,shenanigans/Top KINT Mover/Top KINT Sink
1479,a3dSuavU89hxzka9wUhtouhx3yHGXnyu4XEX7tck6gpd5J4VZ,2092,a3aWepSsLfy67vUAAaKCiSnCj7G72feeTCgfKCBLivBWWTdFW,2092,7.241086894349,0.0,0.0,2022-02-21T14:09:42.264000Z,,shenanigans/Top KINT Mover/Top KINT Sink
1480,a3dTy9hYHZNuntnL7vWWjWY8TWJ9aC4XTCcoXhgD22XCmofhW,2092,0x5edca6d32e28f4bb5c63a0b7306b0fbb34370188,2023,0.0,0.0,0.01892157,2022-05-05T23:09:48.417000Z,Top KINT Mover/Top KBTC Mover,Top KBTC Sink
1481,a3dTy9hYHZNuntnL7vWWjWY8TWJ9aC4XTCcoXhgD22XCmofhW,2092,a3cyyaZRUXrtWzYfqhfqBBAxfRGCgBaaDU7tG49JHPjdeTior,2092,81.53885433101,0.0,0.0,2022-03-29T22:13:48.299000Z,Top KINT Mover/Top KBTC Mover,Top KINT Sink
1482,a3dU7tRCqse2bvxgpaK4Wp6XrMibQmXKzgM1JviYTeXrieWTZ,2092,a3e1qcnjDyCLTe7AvdWT5x2sm8JrH5WQ8UrZMt8mftB6PVpCe,2092,154.52,0.0,0.0,2022-03-26T07:15:06.156000Z,Top KINT Mover/Top KINT Sink,Top KINT Sink
1483,a3dUZHXoTgVL2DNTkhzSRWtCXGjhaLXbmfFndhw5ezvsRnHPn,2092,a3bkd4Z7FSnAVABG9JJV8UyESACpKgretzxMbYx7zLTLoVj2p,2092,39.599480397819995,0.0,0.0,2022-04-23T15:09:30.668000Z,,shenanigans/Top KINT Mover/Top KINT Sink
1484,a3dUnLqQ5zfwAnmTizQCwgmxzLZTeNiArVmHrgCKfvcDEV4P2,2092,a3dcuApjahLFLyPZUJjnvtmxvyZhfQfAb2bVKYnXXjTAjvP5F,2092,664.0,0.0,0.0,2022-03-18T00:21:36.751000Z,Top KINT Mover/Top KINT Sink,Top KINT Sink
1485,a3dUqLsoK8wLzB2szhYoXpP4vEQPTXseM8NXTtNZdVKsPfobo,2092,a3c5e7w6bvLhjdGgtGnGWC4d7Mok1j9YJN8rd4YNUVepwyRNv,2092,4.999870299453,0.0,0.0,2022-04-09T22:15:00.359000Z,,
1486,a3dUreU2QTkk8U2hQJ36bX5x7aPX9f1PEo9HrKiPKg9Z7tWyB,2092,a3fnuMVHvGiAp3jzftcYeq7LJaVLwtSMtKiNV7k63uuhtEtRf,2092,11.0,0.0,0.0,2022-03-17T12:00:06.379000Z,,Top KINT Sink
1487,a3dUtuY1xECVxqPVHa9ekhHGENWYVJ4FSD8qjs2eCb6jHy548,2092,0xdcaaf06089c6b35425b5aee57fe3d0dd3f9f73f2,2023,3381.739,0.0,0.0,2022-05-10T13:42:36.316000Z,Top KINT Mover/Top KINT Sink,Top KINT Sink
1488,a3dUtuY1xECVxqPVHa9ekhHGENWYVJ4FSD8qjs2eCb6jHy548,2092,a3aWM3Q1zWyENVkYhppc4Po3Qbm3kGtS4J43qcV9DRPuLdLhD,2092,2667.05,0.0,0.0,2022-03-30T14:38:36.309000Z,Top KINT Mover/Top KINT Sink,Top KINT Sink
1489,a3dUya16fkcNhqMo1b1Q7QDBJHN8ogPzU98qDzntLJUXeZkiD,2092,a3dUya16fkcNhqMo1b1Q7QDBJHN8ogPzU98qDzntLJUXeZkiD,2000,0.0,0.0,0.01812251,2022-05-20T04:24:12.692000Z,Top KBTC Mover/Top KBTC Sink,Top KBTC Mover/Top KBTC Sink
1490,a3dUyqEoBUVpRDgqePbTXVGPaZBCDC4rLmLec6Mvhnef5SJPS,2092,0x26860caaaea40bdf507772b1f386f11cd97bb4b3,2023,11.370000000000001,0.0,0.0,2022-05-06T04:30:18.513000Z,Top Issuer/K>50/Top KSM Mover/Top KSM Sink,Top KINT Sink/Top KBTC Sink
1491,a3dUyqEoBUVpRDgqePbTXVGPaZBCDC4rLmLec6Mvhnef5SJPS,2092,a3cdPu3pFVPkwH1PYicAWKPKK4spLsecdGAXmDNzJjP7Z9fxm,2092,9.0,0.0,0.0,2022-04-07T07:30:18.554000Z,Top Issuer/K>50/Top KSM Mover/Top KSM Sink,
1492,a3dUyqEoBUVpRDgqePbTXVGPaZBCDC4rLmLec6Mvhnef5SJPS,2092,a3ctFrwwQF7bsEmLvzHNCPbNE5tXoLcTmc32wMLE6fM2qAHao,2092,0.1,45.99,0.0,2022-04-11T07:57:30.678000Z,Top Issuer/K>50/Top KSM Mover/Top KSM Sink,Daddy of eCQvW/Likely Vault Owner/K>50/Top KINT Mover/Top KINT Sink/Top KSM Mover/Top KSM Sink/Top KBTC Mover/Top KBTC Sink
